id,name
157,Lactulose/Mannitol Ratio (L:M)
158,Mannitol % Recovery
160,"pH, blood"
161,"Mercury/Creat, urine"
163,"Testosterone, Total"
164,"Testosterone, Bioavailable"
166,"WBC, blood"
167,Oxidized LDL
168,"Glucose, Fasting"
169,"Uric Acid, serum"
170,"Bilirubin total, blood"
171,"Triiodothyronine (T3), Free"
172,"Thyroxine (T4), Total"
174,"Uric acid, 24h urine"
175,"Protein total, 24h urine"
176,Z score (Bone Mineral Density)
177,EPA (C20:5w3)
178,DHA (C22:6w3)
179,"Omega-3 Index, RBC"
180,"Potassium, serum"
181,Granulocytes %
182,T3 Resin Uptake %
184,Vitamin B3 (Nicotinic acid)
185,SHBG
186,EPO
187,"Vitamin D, 25-Hydroxy"
188,Arachidonic Acid (C20:4w6)
189,Vitamin B3 (Nicotinamide)
190,"Hemoglobin, blood"
191,Calcium Ionized
192,"Renin activity, plasma"
193,"Transferrin, blood"
194,Complement C4a
195,VEGF
196,IL-10
197,IL-5
198,IL-2
199,CD4/CD8 Ratio
202,"Copper, RBC"
203,ALP
204,"C-Peptide, Fasting"
205,LDL-Cholesterol
206,"BUN/Creat Ratio, serum"
208,AA/EPA Ratio
210,Urea
211,"Manganese, RBC"
212,Folate
213,Vitamin B6
214,"Zinc, plasma"
215,Vitamin B12
216,"Zinc, RBC"
217,eGFR
218,Lymphocytes %
219,Monocytes %
221,Neutrophils %
222,Eosinophils %
223,Basophils %
224,PTT
225,aPTT
226,Prothrombin time
227,INR
228,D-Dimer test
229,Quick’s value
230,Alpha-linolenic acid (C18:3w3)
231,Linoleic acid (C18:2w6)
232,Dihomo-gamma-linolenic acid (C20:3w6)
233,Gamma-linolenic acid (C18:3w6)
234,Palmitoleic acid (C16:1w7)
235,Oleic acid (C18:1w9)
236,Nervonic acid (C24:1w9)
237,Palmitoleic/Linoleic acids ratio (16:1w7/18:2w6)
238,Lauric Acid (C12:0)
239,Myristic Acid (C14:0)
240,Hexadecenoic Acid (C16:1w9)
241,Palmitic Acid (C16:0)
242,Vaccenic Acid (C18:1w7)
243,Stearic Acid (C18:0)
244,Mead Acid (C20:3w9)
245,Arachidic Acid (C20:0)
246,DPA (C22:5w6)
247,DPA (C22:5w3)
249,Docosenoic Acid (C22:1)
250,De Ritis ratio
252,"Chloride, 24h urine"
253,Interferon serum
254,Spontaneous interferon
255,Interferon alfa
256,IL-1b
257,IL-8
258,"Magnesium, 24h urine"
259,"Magnesium/Creat, urine"
261,"Manganese, hair "
262,"Manganese, serum"
263,"Manganese, urine"
264,"Manganese, 24h urine "
265,"Deoxypyridinoline/Creat, urine"
266,"Phosphorus, 24h urine"
267,"Phosphorus/Creat, urine"
268,"Protein Electrophoresis, 24h Urine"
269,Reticulocytes
270,"Immature reticulocyte fraction (IRF), %"
271,"Low fluorescence reticulocytes, %"
272,"Medium fluorescence reticulocytes, %"
273,"High fluorescence reticulocytes, %"
274,"Rheumatoid Factor, IgA"
275,"Selenium, 24h urine"
276,"Selenium, urine"
277,"Selenium, RBC"
279,"Uric acid/Creat, urine"
280,Alpha-fetoprotein
281,Squamous cell carcinoma antigen
282,Phospholipid IgM Ab
283,Phospholipid IgG Ab
284,Cardiolipin IgM Ab
285,Cardiolipin IgG Ab
286,Cardiolipin IgA Ab
287,"Beta-2-Glycoprotein 1 Ab, total"
288,Phosphatidylserine/prothrombin comples total Ab
289,Phosphatidylserine antibodies IgG
290,LA (Screening test)
291,"Annexin V antibody, IgG"
292,"Annexin V antibody, IgM"
293,Cyclic Citrullinated Peptide Antibody
294,Anti-Mutated Citrullinated Vimentin
295,Circulating Immune Complexes
296,"Anti-Sm (Smith), qualitative"
297,"Anti-RNP, qualitative"
298,"Anti-SSA Ro52 Ab, qualitative"
299,"Anti-SSA Ro60 Ab, qualitative"
300,"Anti-SSB, qualitative"
301,"Anti-Scl-70, qualitative"
302,"PM-Scl Ab, qualitative"
303,"Anti-PCNA Ab, qualitative"
304,"CENP-A Ab, qualitative"
305,"CENP-B Ab, qualitative"
306,RP11
307,"Anti-RP155, qualitative"
308,"Anti-Fibrillarin, qualitative"
309,NOR90
310,"Anti-Th/To, qualitative"
311,"PM-Scl 100 Ab, qualitative"
312,"PM-Scl 75 Ab, qualitative"
313,"Anti-Jo-1, qualitative"
314,"Anti-PL-7, qualitative"
315,"Anti-PL-12, qualitative"
316,"Anti-EJ, qualitative"
317,"Anti-OJ, qualitative"
318,"Histone Ab, qualitative"
319,"Antibodies to nucleosome, IgG qualitative"
320,"Rib P Ab, qualitative"
321,"Mitochondrial Antibodies (AMA), qualitative"
322,"B2M, serum"
323,"B2M, Urine"
324,"B2M, CSF"
326,"Creatinine, 24h urine"
327,Cyfra-21-1
328,"Human Chorionic Gonadotropin, free beta-subunit"
329,"Calcitonin, serum"
330,Myelocytes %
335,Mucin-Like Carcinoma Antigen
336,Neuron-specific enolase
337,"pH, urine"
338,Urine specific gravity
339,Protein urine test
341,C-Telopeptide
342,Intact N-Terminal Propeptide of Type 1 Procollagen
343,"Hydroxyproline, 24h Urine"
344,Acid phosphatase serum
345,Bone Alkaline Phosphatase serum
346,Cancer Antigen 19-9 serum
347,Cancer Antigen 72-4 serum
348,Cancer Antigen 125 serum
349,Cancer Antigen 15-3 serum
350,Cancer Antigen 242 serum
351,Carcinoembryonic Antigen serum
352,Carbohydrate antigen 549 serum
353,"S-100 protein, serum"
354,Tissue polypeptide antigen
355,"PDW, %"
356,Plateletcrit (PCT)
357,Bone TRAP 5b
358,Cancer Antigen 50 serum
359,Human Epididymis Protein 4 serum
360,"Tumor M2-pyruvatkinase, feces"
362,Chromogranin A
365,Procalcitonin (PCT)
368,Thyroglobulin
372,"Androstenedione, blood"
373,Anti-Mullerian hormone
375,Inhibin B
376,Inhibin A
377,"Macroprolactin, %"
379,"17-hydroxyprogesterone, serum"
380,Serum Angiotensin Converting Enzyme
381,"Adrenaline, blood"
382,"Norepinephrine, blood"
383,Dopamine 
384,"Serotonin, blood"
386,"Metanephrine Fractionated Free, Plasma"
387,"Normetanephrine Fractionated Free, Plasma"
389,"Glucose, 24h urine"
390,"Glutamic Acid Decarboxylase Antibody, serum"
391,Anti-GAD / IA2 antibody pool
392,"Insulin Antibodies (IAA), IgG"
394,Proinsulin
396,"C-peptide, 24h urine"
397,Islet Antigen 2 Antibody
398,Glycated Serum Protein
399,Human placental lactogen
400,Pregnancy-associated plasma protein-A
401,Placental Growth Factor
402,"Hepatitis A Virus IgM Ab, qualitative"
403,Hepatitis A Virus total Ab 
404,"Hepatitis B Core Ag IgG+IgM Ab, qualitative"
405,Hepatitis B Surface Ag IgG+IgM Ab
406,"Hepatitis B surface antigen, qualitative"
407,"Hepatitis C Virus IgG+IgM Ab, qualitative"
409,Hepatitis C Virus RNA
410,"Hepatitis C Virus IgM Ab, qualitative"
411,"Hepatitis D Virus RNA, qualitative"
412,"Hepatitis D virus IgM+IgG Ab, qualitative"
413,"Hepatitis D virus IgM Ab, qualitative"
414,Hepatitis E virus IgM Ab
415,Hepatitis E virus IgG Ab
416,"Hepatitis G virus RNA, qualitative"
417,"Transfusion transmitted virus DNA, qualitative"
418,"Anti-Sm (Smith)/RNP, qualitative"
422,Anti-p53 Ab
423,"Ganglioside Ab IgG/IgM, qualitative"
427,Antibody to ds-DNA
428,Antibody to ss-DNA
432,"Antibodies to Glomerular Basement Membrane, IgG"
434,"Anti-Mi-2, qualitative"
435,"Anti-Ku, qualitative"
436,"Anti-PDGFR, qualitative"
437,"Anti-SRP, qualitative"
440,"Myeloperoxidase antibody, IgG"
442,"liver kidney microsome 1 Ab, qualitative"
445,"Proteinase 3 Ab, IgG"
448,Anti-SLA/LP
449,Acetylcholine Receptor Binding Abs
450,Muscle-Specific Kinase Autoantibody Serum
451,"Antibodies to nucleosome, IgG"
453,"Anti-LC-1, qualitative"
455,"Antisperm antibodies, serum"
457,"Deamidated Gliadin Peptide (DGP) Antibodies, IgA"
458,"Deamidated Gliadin Peptide (DGP) Antibodies, IgG"
459,Tissue transglutaminase IgG Ab
460,Tissue transglutaminase IgA Ab
463,Anti-C1q Antibody
465,C-Reactive Protein High Sensitivity
468,"Protein/Creat, urine"
469,"Albumin, 24h urine"
470,"Alpha-1-Antitrypsin, serum"
471,"Alpha-2-Macroglobulin, serum"
472,"Alpha-amylase, serum"
473,"Alpha-amylase, urine concentration"
474,Antistrep-O Titer Serum
475,"Bicarbonate, serum"
476,"Haptoglobin, serum"
477,Pepsinogen I serum
478,Pepsinogen II serum
479,"Antibodies to Helicobacter pylori, IgG"
480,"Bile acids total, Serum"
481,"Pancreatic Elastase-1, feces"
482,Serum Elastase
483,Alpha 1 Seromucoid
484,Thymol turbidity
485,"Cholinesterase, serum"
487,Lipase Serum
488,7-Dehydrocholesterol
491,Riboflavin
492,Vitamin B5
493,Vitamin K1 Serum
494,"NT-Pro B-Type Natriuretic Peptide, serum"
496,"Albumin/Creat, urine"
497,Thymidine kinase
498,Troponin I
499,Cystatin C serum
502,B lymphocytes (CD19+CD3-)
503,"B lymphocytes (CD19+CD3-), %"
504,T cytotoxic cells (CD3+CD8+)
505,NK cells (CD3-CD16-CD56+)
506,Direct Antiglobulin Test (Polyspecific) Blood
507,Plasma cells
508,"T lymphocytes (CD3+), %"
509,T lymphocytes (CD3+)
511,"T helper cells (CD3+CD4+), %"
513,Leukocyte common antigen
515,Antithrombin III
521,"Glucose, urine"
522,"Bilirubin, urine"
523,"Ketones, urine"
524,"Nitrite, urine"
525,"Blood, urine qualitative"
528,"Squamous epithelial cells, urine HPF"
530,"Bacteria, urine qualitative"
531,"Mucus, urine qualitative"
532,"Sperm, urine"
533,"Yeast, urine"
534,"Trichomonas vaginalis, urine qualitative"
535,"Fatty casts, urine qualitative"
539,"Epithelial casts, urine qualitative"
540,RBC casts urine qualitative
541,"WBC casts, urine qualitative"
542,"Amorphous uric acid crystals, urine qualitative"
543,"Uric acid crystals, urine qualitative"
544,"Calcium oxalate crystals, urine qualitative"
545,"Oxalate, 24h urine"
546,"Oxalate/Creat, urine"
547,"Amorphous phosphate, urine qualitative"
548,"Tripelphosphates, urine qualitative"
549,"Sulfonamide crystals, urine qualitative"
550,"Cystine crystals, urine qualitative"
551,"Ammonium urate crystals, urine qualitative"
552,"Renal epithelium, urine HPF"
554,"Fat, urine HPF"
555,"Calcium phosphate crystals, urine HPF"
556,"Calcium carbonate crystals, urine HPF"
557,"Leucine crystals, urine HPF"
558,"Tyrosine crystals, urine HPF"
559,"Cholesterol crystals, urine HPF"
560,"WBC urine, Nechiporenko tests"
561,"RBC urine, Nechiporenko tests"
562,"Hyaline casts urine, Nechiporenko tests"
563,"Granular casts urine, Nechiporenko tests"
564,"Waxy casts urine, Nechiporenko tests"
565,"Misc casts urine, Nechiporenko tests"
567,"Immunoglobulin free light chains kappa, urine"
568,"Immunoglobulin free light chains lambda, urine"
569,"Bence-Jones Protein, urine"
570,Alanine
571,Arginine
572,Aspartic Acid
573,Citrulline
574,Glutamic Acid
575,Glycine
576,Methionine
577,Ornithine
578,Phenylalanine
579,Tyrosine
580,Valine
581,Leucine
582,Isoleucine
583,Hydroxyproline
584,Serine
585,Asparagine
586,a-Aminoadipic Acid (Aad)
587,Glutamine
588,b-Alanine
589,Taurine
590,Histidine
591,Threonine
592,1-Methylhistidine
593,3-Methylhistidine
594,g-Amino-n-butyric Acid
595,b-Aminoisobutyric Acid
596,a-Amino-n-butyric Acid
597,Proline
598,Cystathionine
599,Lysine
600,Cystine
601,"Alanine, urine"
602,"Arginine, urine"
603,"Aspartic Acid, urine"
604,"Citrulline, urine"
605,"Glutamic Acid, urine"
606,"Glycine, urine"
607,"Methionine, urine"
608,"Ornithine, urine"
609,"Phenylalanine, urine"
610,"Tyrosine, urine"
611,"Valine, urine"
612,"Leucine, urine"
613,"Isoleucine, urine"
614,"Hydroxyproline, urine"
615,"Serine, urine"
616,"Asparagine, urine"
617,a-Aminoadipic Acid (Aad) urine
618,"Glutamine, urine"
619,"b-Alanine, urine"
620,"Taurine, urine"
621,"Histidine, urine"
622,"Threonine, urine"
623,"1-Methylhistidine, urine"
624,"3-Methylhistidine, urine"
625,"g-Amino-n-butyric Acid, urine"
626,"b-Aminoisobutyric Acid, urine"
627,"a-Amino-n-butyric Acid, urine"
628,Proline (Pro) urine
629,"Cystathionine, urine"
630,"Lysine, urine"
631,"Cystine, urine"
632,"Cysteic acid, urine"
633,"Protein C, Activity"
634,Plasminogen % Activity
635,"Protein S Ag, Free"
636,Factor VIII Activity %
638,"Lactate, blood"
639,"Immunoglobulin free light chains kappa, serum"
640,"Immunoglobulin free light chains lambda, serum"
641,"Immunoglobulin free light chains kappa/lambda ratio, serum"
642,"M-gradient serum, quantitative"
643,"M-gradient serum, scrining"
644,"Pancreatic alpha-amylase, blood"
645,Alpha-HBDH
646,Creatine Kinase-MB
647,Pepsinogen I / II ratio
651,Total antioxidant status serum
652,Myoglobin
653,Eosinophil Cationic Protein
655,"17-Ketosteroids, 24h Urine"
656,Androstanediol glucuronide
660,"Adrenaline, 24h urine"
661,"Norepinephrine, 24h urine"
662,"Dopamine, 24h urine"
663,"Adrenaline/Creat, urine"
664,"Norepinephrine/Creat, urine"
665,"Dopamine/Creat, urine"
666,Metanephrine Fractionated 24h urine
667,"Normetanephrine free, 24h urine"
668,"VMA, 24h urine"
669,"HVA, 24h urine"
671,Aldosterone/Renin ratio
672,C1-Esterase Inhibitor Functional
673,Functionality Test of Complement (CH50)
674,"Functionality Test of Complement, Alternative Pathway"
676,Human Cartilage Oligomeric Protein
683,Anti-GP2 IgG
684,Anti-GP2 IgA
686,"Fecal Calprotectin, feces"
687,Saccharomyces cerevisiae (ASCA) IgA Ab
688,Saccharomyces cerevisiae (ASCA) IgG Ab
689,Intrinsic Factor IgG Ab
690,Immunoglobulin G Subclass 4
691,"Antibodies to asialoglycoprotein receptor, qualitative"
693,"Anti-Yo antibodies, qualitative"
694,"Anti-Hu Ab, qualitative"
695,"Anti-Ri antibodies, qualitative"
696,Anti-Ma antibodies
697,"Amphiphysin Ab, qualitative"
698,"Anti-CV2 antibodies, qualitative"
703,"Bullous pemphigoid BP230 Antibodies, Serum"
704,"Bullous pemphigoid BP180 Antibodies, Serum"
705,Anti-desmoglein 1 (DSG1)
706,Anti-desmoglein 3 (DSG3)
707,Neopterin
709,Urine Bladder Cancer Antigen
711,Risk of Ovarian Malignancy Algorithm premenopausal
712,Risk of Ovarian Malignancy Algorithm postmenopausal
713,"Aluminum, urine"
714,"Aluminum, hair"
715,"Aluminum, nails"
716,"Barium, hair"
717,"Barium, nails"
718,"Beryllium, nails"
719,"Beryllium, hair"
720,"Boron, nails"
721,"Boron, hair"
722,"Vanadium, nails"
723,"Vanadium, hair"
724,"Bismuth, nails"
725,"Bismuth, hair"
726,"Tungsten, nails"
727,"Tungsten, hair"
728,"Gallium, nails"
729,"Gallium, hair"
730,"Germanium, nails"
731,"Germanium, hair"
732,"Iron, urine"
733,"Iron, nails"
734,"Iron, hair"
735,"Gold, serum"
736,"Gold, nails"
737,"Gold, hair"
740,"Iodine, nails"
741,"Iodine, hair"
744,"Cadmium, urine"
745,"Cadmium, nails"
746,"Cadmium, hair"
747,"Potassium, 24h urine"
748,"Potassium, nails"
749,"Potassium, hair"
750,"Calcium, 24h urine"
751,"Calcium/Creat, urine"
752,"Calcium, urine semiquantitative"
753,"Calcium, nails"
754,"Calcium, hair"
755,"Cobalt, blood"
756,"Cobalt, serum"
757,"Cobalt, urine"
758,"Cobalt, nails"
759,"Cobalt, hair"
760,"Silicon, nails"
761,"Silicon, hair"
762,"Lanthanum, nails"
763,"Lanthanum, hair"
764,"Lithium, nails"
765,"Magnesium, nails"
766,"Magnesium, hair"
767,"Manganese, nails"
772,"Copper, 24h urine"
773,"Copper, nails"
774,"Copper, hair"
775,"Copper, urine"
776,"Copper, blood"
778,"Molybdenum, hair"
779,"Molybdenum, nails"
780,"Molybdenum, blood"
781,"Arsenic, hair"
782,"Arsenic, urine"
784,"Sodium, 24h urine"
785,"Sodium, nails"
786,"Sodium, hair"
788,"Nickel, blood"
789,"Nickel, urine"
790,"Nickel, nails"
791,"Nickel, hair"
792,"Tin, nails"
793,"Tin, hair"
794,"Platinum, nails"
795,"Platinum, hair"
796,"Mercury, nails"
797,"Mercury, hair"
798,"Mercury, urine"
800,"Rubidium, nails"
801,"Rubidium, hair"
803,"Lead, urine"
804,"Lead, nails"
805,"Lead, hair"
809,"Selenium, nails"
810,"Selenium, hair"
811,"Silver, nails"
812,"Silver, hair"
813,"Antimony, nails"
814,"Antimony, hair"
815,"Thallium, blood"
816,"Thallium, urine"
817,"Thallium, nails"
818,"Thallium, hair"
819,"Phosphorus, nails"
820,"Phosphorus, hair"
821,"Chromium, nails"
822,"Chromium, hair"
823,"Zinc, blood"
824,"Zinc, serum"
825,"Zinc, urine"
826,"Zinc, nails"
827,"Zinc, hair"
828,"Zirconium, nails"
829,"Zirconium, hair"
830,"Urea, 24h urine"
831,"Rest Nitrogen, blood"
832,Phosphatidylserine antibodies IgM
833,RDW-SD
834,Segmented neutrophils %
835,Metamyelocytes %
836,"Colour index, blood"
837,Human Chorionic gonadotropin
839,"Gastrin-17, stimulation test"
840,Apolipoprotein A-1
841,"Hepcidin 25, bioactive"
842,sTfR
843,"Antinuclear Ab, screen qualitative"
845,Thrombin Time
846,APTT ratio
847,ESR (Westergren test)
848,ESR (Panchenkov test)
849,Free triiodothyronine/Free thyroxine ratio
850,"Alpha 1 globulins, % serum"
851,"Alpha 2 globulins, % serum"
852,"Beta 1 globulins, % serum"
853,"Beta 2 globulins, % serum"
854,"Gamma globulins, % serum"
856,Behenic acid (C22:0)
857,Hexacosanoic acid
858,11-Eicosenoic acid (C20:1w9)
859,Lignoceric Acid (C24:0)
860,Myristoleic acid (C14:1w5)
861,Capric Acid (C10:0)
862,Eicosadienoic acid (C20:2w6)
863,Docosadienoic acid (C22:2w6)
864,Docosatetraenoic acid (C22:4w6)
865,"Beta-2-Glycoprotein 1 Ab, IgМ"
866,"Beta-2-Glycoprotein 1 Ab, IgG"
867,Phosphatidylserine antibodies IgA
870,T helper cells (CD3+CD4+)
871,"2-Hydroxyisocaproic acid/Creat, urine"
872,"2-methyl-3-hydroxybutyric acid, blood"
873,"Dihydroxyphenylpropionic acid (DHPPA)/Creat, urine"
874,"3-hydroxy-3-methylglutaric acid/Creat, urine"
875,"3-hydroxy-3-methylglutaric acid, blood"
876,3-Hydroxyisocaproic acid
877,"3-Methyl-2-oxovaleric acid, blood"
878,"3-Methylglutaric acid, blood"
879,"4-Hydroxybenzoic acid/Creat, urine"
880,"4-Hydroxyphenylacetic acid, blood"
881,"4-Hydroxyphenylpyruvic acid, blood"
882,"4-Methyl-2-oxovaleric acid, blood"
884,"5-Hydroxyindoleacetic acid/Creat, urine"
886,"cis-Aconitic acid/Creat, urine"
887,"Activated lymphocytes,%"
888,"Adipic acid, blood"
889,"Adipic acid/Creat, urine"
890,"Allergen f78 - casein, IgG"
891,"Alpha 1 globulins, serum"
892,"Alpha 2 globulins, serum"
893,"alpha-Hydroxybutyrate/Creat, urine"
894,"alpha-Ketoglutaric acid/Creat, urine"
895,"alpha-Ketoisovaleric acid/Creat, urine"
896,"Aluminum, serum"
897,"ALY, %"
898,ALY
899,"Androstenedione, 24h urine"
900,"Androsterone, 24h urine"
901,Epstein-Barr Virus capsid Ag IgG Ab
903,"Antimony, blood"
904,Toxoplasma gondii IgG Ab
905,Atherogenic Index of Plasma (AIP)
906,"Atypical mononuclear cells, %"
907,Atypical mononuclear cells
908,"beta-Hydroxyisovaleric acid/Creat, urine"
909,Bands
910,"Barium, blood"
911,Basal Gastrin-17
912,"Benzoic acid/Creat, urine"
913,"Beryllium, blood"
914,"Beta globulins, serum"
915,"Beta globulins, % serum"
916,"3-Hydroxybutyric acid, blood"
917,"3-Hydroxybutyric acid/Creat, urine"
918,"Blasts,%"
919,"Boron, serum"
920,"Caesium, blood"
922,"Calcium, urine"
923,"Cerium, blood"
924,"Citric acid/Creat, urine"
925,"Corrected calcium, serum"
926,"Corrected reticulocyte count (CRC), %"
927,"Creatinine, urine"
928,Cysteic acid
929,Cytomegalovirus IgG Ab
930,"T cytotoxic cells (CD3+CD8+), %"
931,"D-Arabinitol/Creat, urine"
932,"D-lactic acid/Creat, urine"
933,"Dehydroepiandrosterone, 24h urine"
934,Delta-Hb
939,"Epiandrosterone, 24h urine"
940,Epstein-Barr Virus nuclear Ag IgG Ab
941,"Ethylmalonic acid, serum"
942,"Ethylmalonic acid/Creat, urine"
943,"Etiocholanolone, 24h urine"
945,Hemoglobin F
946,"Food - Casein, IgE, F78"
947,"Formiminoglutamic acid/Creat, urine"
948,Free Testosterone Index (FTI)
949,"Fumaric acid/Creat, urine"
950,"Functionality Test of Complement, Classical Pathway"
951,"Functionality Test of Complement, Lectin Pathway"
952,"Gallium, blood"
953,"Gamma globulins, serum"
954,Germanium
955,"Glucaric acid/Creat, urine"
956,"Glutaric acid, blood"
957,"Glyceric acid, blood"
958,"Glycolic acid, blood"
961,"Antibodies to Helicobacter pylori, IgA"
962,Hemoglobin S
964,Hemoglobin A2
965,Hemoglobin C
966,Hemoglobin D
967,Hepatitis B surface antigen
968,"Hippuric acid, serum"
969,"Hippuric acid/Creat, urine"
970,"Homogentisic acid, blood"
971,"HVA/Creat, urine"
972,"4-hydroxyphenylacetic acid/Creat, urine"
973,"Hydroxyphenyllactic acid/Creat, urine"
974,"Hydroxyphenyllactic acid, serum"
975,Immature Granulocytes
977,"Indican/Creat, urine"
978,"Iron, blood"
979,"Isocitric acid/Creat, urine"
980,"Isovaleric acid (IVA), blood"
981,"Kynurenic acid/Creat, urine"
982,LA (confirmatory tests)
983,LA risk index
984,"Lactate dehydrogenase 1, 2"
985,"Lactic acid (by GC-MS), blood"
986,"Lactic acid/Creat, urine"
987,"Lanthanum, blood"
988,"Large Immature Cells, %"
989,Large Immature Cells
990,large unstained cells
991,"Lithium, hair"
992,"Macrocytes, %"
993,"Malonic acid/Creat, urine"
995,Measles Virus IgG Ab
996,Metamyelocytes
997,"Metanephrine total, 24h urine"
998,"Methylhippuric acids total/Creat, urine"
999,"Methylmalonic acid (MMA), serum"
1000,"Methylmalonic acid (MMA)/Creat, urine"
1001,"Mevalonic acid, blood"
1002,"Microcytes, %"
1003,Microcytic Anemia factor
1004,Mixed Cell Count
1005,Mixed cell Percentage
1007,Monomeric prolactin (post-PEG)
1009,Myelocytes
1010,"N-Acetylaspartic acid, blood"
1011,"Niobium, blood"
1012,"Normetanephrine total, 24h urine"
1013,"Normoblasts, %"
1014,Normoblasts
1016,"Orotic acid/Creat, urine"
1017,"Phenylacetic acid (PAA)/Creat, urine"
1018,"Phenyllactic acid, serum"
1019,"Phenylpropanoic acid/Creat, urine"
1020,"Phenylpyruvic acid, blood"
1021,"Picolinic acid/Creat, urine"
1022,"Plasma cells, %"
